STATION,STATION_NAME,City,ELEVATION,LATITUDE,LONGITUDE,Date,Year,Month,Day,PRCP,SNWD,SNWDcm,SNOW,SNOWcm,TMAX,TMIN
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-28,1981,2,28,0.8,0,0,0,0,8.3,1.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-01,1982,1,1,0,127,12.7,0,0,2.8,-7.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-02,1982,1,2,0,127,12.7,0,0,1.7,-11.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-03,1982,1,3,2.5,127,12.7,0,0,4.4,1.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-04,1982,1,4,7.1,76,7.6,5,0.5,7.2,-3.9
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-05,1982,1,5,0,51,5.1,0,0,0,-5
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-06,1982,1,6,1.3,51,5.1,13,1.3,2.8,-3.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-07,1982,1,7,0,51,5.1,0,0,-2.8,-11.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-08,1982,1,8,0.3,25,2.5,3,0.3,-5.6,-15
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-09,1982,1,9,0.5,25,2.5,5,0.5,-9.4,-17.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-10,1982,1,10,1,25,2.5,8,0.8,-16.1,-22.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-11,1982,1,11,0.3,25,2.5,3,0.3,-11.7,-21.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-12,1982,1,12,0.8,25,2.5,8,0.8,-8.3,-12.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-13,1982,1,13,4.6,76,7.6,69,6.9,-5.6,-10.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-14,1982,1,14,1,127,12.7,23,2.3,-5.6,-12.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-15,1982,1,15,1,127,12.7,10,1,-8.3,-17.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-16,1982,1,16,2,152,15.2,23,2.3,-6.7,-22.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-17,1982,1,17,1.3,102,10.2,15,1.5,-18.3,-26.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-18,1982,1,18,0.3,76,7.6,3,0.3,-10,-18.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-19,1982,1,19,0,76,7.6,0,0,-3.9,-12.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-20,1982,1,20,0,76,7.6,0,0,-3.3,-15.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-21,1982,1,21,0.8,76,7.6,8,0.8,-5.6,-13.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-22,1982,1,22,4.6,76,7.6,8,0.8,-2.2,-13.9
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-23,1982,1,23,14.2,76,7.6,0,0,6.1,-12.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-24,1982,1,24,0.8,25,2.5,8,0.8,-8.9,-15
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-25,1982,1,25,0,25,2.5,0,0,-8.3,-16.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-26,1982,1,26,0,25,2.5,0,0,-5.6,-14.4
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-27,1982,1,27,0,25,2.5,0,0,-2.8,-16.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-28,1982,1,28,0,25,2.5,0,0,3.3,-6.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-29,1982,1,29,0,0,0,0,0,0,-11.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1982-01-30,1982,1,30,20.6,0,0,46,4.6,1.7,-1.1
